Site_name,Site_id,Latitude,Longitude
NMIC04,27046,32.234722,35.251389
NMIC04,27047,32.234722,35.251389
NMIC05,27051,32.231389,35.253056
NMIC05,27052,32.231389,35.253056
NMIC05,27053,32.231389,35.253056
NMIC05,27056,32.231389,35.253056
NMIC05,27057,32.231389,35.253056
NMIC05,27058,32.231389,35.253056
NMIC09,27091,32.208339,35.254722
NMIC09,27092,32.208339,35.254722
NMIC09,27093,32.208339,35.254722
NMIC09,27096,32.208339,35.254722
NMIC09,27097,32.208339,35.254722
NMIC09,27098,32.208339,35.254722
NMIC11,27111,32.214492,35.260715
NMIC11,27112,32.214492,35.260715
NMIC11,27113,32.214492,35.260715
NMIC11,27116,32.214492,35.260715
NMIC11,27117,32.214492,35.260715
NMIC11,27118,32.214492,35.260715
NMIC12,27121,32.224343,35.26337
NMIC12,27122,32.224343,35.26337
NMIC12,27126,32.224343,35.26337
NMIC12,27127,32.224343,35.26337
NMIC15,27151,32.216389,35.246667
NMIC15,27152,32.216389,35.246667
NMIC15,27156,32.216389,35.246667
NMIC15,27157,32.216389,35.246667
NMIC18,27181,32.241676,35.199089
NMIC18,27182,32.241676,35.199089
NMIC18,27183,32.241676,35.199089
NMIC18,27186,32.241676,35.199089
NMIC18,27187,32.241676,35.199089
NMIC18,27188,32.241676,35.199089
NMIC22,27221,32.2214,35.2392
NMIC22,27226,32.2214,35.2392
NMIC24,27241,32.221389,35.261311
NMIC24,27242,32.221389,35.261311
NMIC24,27243,32.221389,35.261311
NMIC24,27246,32.221389,35.261311
NMIC24,27247,32.221389,35.261311
NMIC24,27248,32.221389,35.261311
NMIC25,27251,32.218611,35.258611
NMIC25,27252,32.218611,35.258611
NMIC25,27253,32.218611,35.258611
NMIC25,27256,32.218611,35.258611
NMIC25,27257,32.218611,35.258611
NMIC25,27258,32.218611,35.258611
NMIC26,27261,32.2255,35.241917
NMIC26,27262,32.2255,35.241917
NMIC26,27263,32.2255,35.241917
NMIC26,27266,32.2255,35.241917
NMIC26,27267,32.2255,35.241917
NMIC26,27268,32.2255,35.241917
NMIC28,27281,32.225556,35.221667
NMIC28,27282,32.225556,35.221667
